Label,Total,White,Black,American Indian,Asian,Native Hawaiian,Other,White; Black,White; American Indian,White; Asian,White; Native Hawaiian,White; Other,Black; American Indian,Black; Asian,Black; Native Hawaiian,Black; Other,American Indian; Asian,American Indian; Native Hawaiian,American Indian; Other,Asian; Native Hawaiian,Asian; Other,Native Hawaiian; Other,White; Black; American Indian,White; Black; Asian,White; Black; Native Hawaiian,White; Black; Other,White; American Indian; Asian,White; American Indian; Native Hawaiian,White; American Indian; Other,White; Asian; Native Hawaiian,White; Asian; Other,White; Native Hawaiian; Other,Black; American Indian; Asian,Black; American Indian; Native Hawaiian,Black; American Indian; Other,Black; Asian; Native Hawaiian,Black; Asian; Other,Black; Native Hawaiian; Other,American Indian; Asian; Native Hawaiian,American Indian; Asian; Other,American Indian; Native Hawaiian; Other,Asian; Native Hawaiian; Other
Alabama,5024279,3220452,1296162,33625,76660,2984,137443,45429,79559,18510,1449,80617,6301,2049,492,5421,266,77,1941,567,562,233,4493,972,172,1441,912,138,2194,681,429,78,124,13,146,145,86,27,12,6,7,17
Alaska,733391,435392,21898,111575,44032,12698,18272,5987,38129,9815,1599,17735,2039,547,319,948,1215,607,622,1349,255,55,1988,402,121,361,1795,344,878,837,204,31,80,31,41,58,21,15,90,28,15,31
Arizona,7151502,4322337,339150,319512,257430,16397,899870,60610,84795,62979,7025,687131,7977,4322,864,11926,1492,570,10400,4226,3696,884,7360,3178,518,5839,2296,428,13994,3924,3882,457,254,87,479,218,190,49,117,111,36,97
Arkansas,3011524,2114512,453783,27177,51839,14533,136105,28910,76042,11859,1281,75317,3149,865,214,2817,199,101,1347,502,522,174,3600,466,101,1050,831,104,2079,441,358,73,63,9,134,81,22,2,8,11,0,14
California,39538223,16296122,2237044,631016,6085947,157263,8370596,257897,384596,624936,45390,3626370,37342,51784,8765,88929,13189,2563,113787,51357,61163,11974,41343,24099,3338,32938,22082,3308,119441,31003,42261,4250,2582,555,3381,2638,2603,606,960,1465,316,1858
Colorado,5773714,4082927,234828,74129,199827,10287,464046,48200,91231,63039,4943,426665,5076,3636,611,7619,851,218,8397,2431,2183,545,6940,2747,337,4070,2331,325,14157,3105,2553,331,265,63,348,170,129,25,68,72,14,67
Connecticut,3605944,2395128,388675,16051,172455,1598,299133,36315,25191,24100,853,191978,4947,2021,469,20121,356,87,3197,639,1839,1115,4629,1111,75,5315,449,36,2516,462,975,119,152,20,641,35,177,49,8,36,21,57
Delaware,989948,597763,218899,5148,42699,412,48509,14610,9586,5480,310,32669,2662,911,147,3811,107,12,613,132,310,101,1842,434,25,841,177,31,546,160,157,27,74,29,88,26,10,2,4,4,0,11
District of Columbia,689545,273194,285810,3193,33545,432,37294,7543,2212,8646,247,23425,2334,1340,112,3856,70,20,767,190,300,85,1379,394,23,792,88,3,781,153,273,15,63,39,127,32,49,27,2,0,4,18
Florida,21538187,12422961,3246381,94795,643682,14014,1564282,200545,192576,122838,7435,2694902,19086,20991,4320,127918,1859,393,14987,4389,11730,4073,19129,9588,862,32695,4204,537,18348,3696,9942,854,541,132,2680,826,1589,322,93,177,35,208
Georgia,10711908,5555483,3320513,50618,479028,7299,555059,115782,106685,55138,3094,333782,19655,11481,1812,36334,1007,147,7360,1680,3398,787,13019,4196,462,7178,1892,242,6817,1473,1931,185,490,101,1017,397,504,110,40,42,6,77
Hawaii,1455271,333261,23417,4370,541902,157445,26747,5615,11279,71907,34670,20218,800,2779,1736,929,1010,930,439,75347,2842,1003,1511,1433,911,576,4244,2019,1147,99170,2728,1076,218,99,67,1245,83,32,1177,53,16,1042
Idaho,1839106,1510360,15726,25621,26836,3726,103632,7906,32995,15980,2696,81703,433,236,85,625,203,104,1365,591,384,137,1022,330,85,575,693,162,2248,1156,494,109,14,6,29,8,16,3,18,3,5,16
Illinois,12812508,7868227,1808271,96498,754878,4501,1135149,111307,107871,90923,3101,697568,12187,6283,716,23028,1470,168,23158,2673,5233,1574,11661,2761,286,8170,2026,187,18641,1694,3603,255,391,103,904,227,286,76,27,113,43,120
Indiana,6785528,5241795,648513,26086,167959,3137,261312,81420,90589,31442,2300,184637,4870,2177,381,8306,342,58,2919,3589,1443,383,7003,1615,225,3161,968,177,4218,871,851,117,66,19,227,76,75,41,9,18,5,54
Iowa,3190369,2694521,131972,14486,75629,5758,88720,31415,33145,15391,1121,81757,1430,757,94,1860,180,40,1039,1816,577,108,2828,596,135,1007,416,42,1561,529,350,62,52,13,76,68,45,12,11,5,4,5
